total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
551446035.1889551,2007946699.324388,297469572.4684802,514484398.0491024,113826168.13653676,495390712.5653351,0.0136880016021729,0.0286706741623767,2023-10-01,242
545607024.0658367,2045617498.1868756,287973953.0572962,537951738.7264447,118661334.65167508,504401155.23290294,0.0124224738267442,0.0437874419971917,2023-10-02,243
549427674.5252553,2086332485.3133824,265908745.39996436,539652706.5176498,111918212.659137,522289224.5146476,0.0132205752767237,0.0291627767705086,2023-10-03,244
552404667.738063,2090631389.6139908,272577517.5321563,547828007.9161053,112825023.3485715,534323720.90539646,0.0131309303693269,0.0401645787681001,2023-10-04,245
551647213.9606189,2101652167.60367,272817224.57564014,553622655.9548814,114618374.81999384,531929533.0902152,0.0132704560434505,0.0413442281832044,2023-10-05,246
561711822.0782812,2122756935.425196,266670539.06013143,556898665.4478877,114550374.76545818,535672515.01807064,0.0136239871266549,0.0372527119163531,2023-10-06,247
564537191.5420097,2154133127.911808,266913870.9945239,562538606.8993503,112364934.46108322,544725917.9061614,0.0125962079343499,0.0357416976506938,2023-10-07,248
569647713.2774111,2106375166.052412,263840771.43192285,549368114.2404311,113905690.49367528,537837567.1512378,0.013639183626025,0.0283838527748767,2023-10-08,249
572723133.5078619,2105503995.799956,256430956.27139577,559517436.0649625,118903761.10293472,533069967.8361956,0.0135986112291146,0.0377876717649046,2023-10-09,250
562847876.67683,2117622961.0721292,230914735.0659837,535967821.4993513,115885262.47860377,528752684.054435,0.0148785281576877,0.0285489113325171,2023-10-10,251
553225811.629088,2078929248.4676287,238162331.49277145,541012592.1913457,116044163.25807188,527859908.50882554,0.0156532393280592,0.0449991840102894,2023-10-11,252
563356679.2491208,2101414644.8605545,240873396.4997172,545669436.3668809,114847381.572844,525722951.6106316,0.0170019761326725,0.0337679804694046,2023-10-12,253
