,total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,total_stake_borrow,total_stake_collateral,total_external_stake_lending,weighted_crypto_rate,weighted_stablecoin_rate,weighted_stake_rate,date
0,7700600.502054512,15837583.900689175,7192684.878042815,10015274.130873479,1499340.0199816723,13826083.959958004,794407.0270194958,23144888.928304724,1097236.7622368603,0.008777835566106064,0.01724020291514242,0.00015759725208559143,2023-02-01
1,10548138.471337372,19982811.802531864,7919506.375305761,11439927.765179543,3372221.34023261,14129192.405206226,789082.2873597884,25600920.066530082,1133917.1765201911,0.010461353191882974,0.01723971537553677,0.0001346154923540621,2023-02-02
2,11224940.892774576,20775908.696675085,8026489.358031328,11844338.240632987,3785452.972490438,14006120.011711098,1398430.014539231,26971959.101616368,1136165.8647867544,0.010635685351274246,0.01793045896161136,0.00030591748237650897,2023-02-03
3,24312957.438248005,29868639.91173728,11307364.590993099,13290783.292289285,5309739.614723601,14298282.641439602,1400752.9981812849,41981945.66476256,1259029.0394034798,0.020664681007471108,0.0185173269665323,0.00015645420093909906,2023-02-04
4,26187646.606258363,48401623.94074558,11605335.243257256,16715403.900683032,5363408.454513556,17857816.898369644,791422.406964827,45006706.87269835,1253571.8364464897,0.011718957645512893,0.020942174158732743,6.187932416608727e-05,2023-02-05
5,33328986.109482232,51893334.86616713,12812799.98673614,16311383.104014516,5681381.812406798,20482773.145719294,789805.7252375885,53179742.486786105,1241804.613040694,0.015570014871715145,0.015669653593157973,4.921953944862075e-05,2023-02-06
6,32286074.83908889,56569091.958979934,9842125.123491436,18091629.182196137,6260667.434569296,21201809.416759662,5398013.804703681,58374184.47588146,1318368.237450654,0.013831565537453856,0.01760441296431941,0.0009443945211781593,2023-02-07
7,39499114.675794266,58714625.99238974,18675348.23168431,18567566.853057668,8241312.863645034,21225069.00271132,776440.8537966774,61072929.07668661,1353222.0918352362,0.01573925364943739,0.016007811804189018,4.3354504910262606e-05,2023-02-08
8,44554437.40180805,42265345.043450855,29039738.81219906,17145141.87025931,11501036.229014894,21270183.734806452,776448.531205689,69908055.58103701,1353463.3386738063,0.02273869869625515,0.01134750258148336,4.144751910276811e-05,2023-02-09
9,44742392.0286484,43206051.63528624,32609465.659274016,18228791.019367207,12223125.132394636,22951038.883963328,776458.7552007791,70381455.02031122,1852386.806353662,0.020440473836705598,0.011114239836672066,4.052988983861266e-05,2023-02-10
10,45460013.867158845,51633064.25201488,33479385.63565374,20610431.01689708,12601106.108111396,22832600.859909527,785857.9988795388,71735470.71540722,1842524.4900838044,0.01717789421043503,0.013940359841476322,4.063947030582119e-05,2023-02-11
